°í°´¹øÈ£,A,B,C,D
4350,551,1139,263,0
4351,3,34,2963,0
4352,14,2238,0,2
4353,9,22,3699,0
4354,111,1211,146,0
4355,6,1256,5,0
4356,453,270,13,0
4357,471,41,241,1
4358,354,270,3,0
4359,3,2841,7,0
4360,730,520,12,0
4361,764,159,1,0
4362,547,503,2,0
4363,127,1672,1,0
4364,583,31,4,2
4365,684,18,3,0
4366,39,919,9,35
4367,20,1280,2,14
4368,665,84,3,3
4369,735,13,19,0
4370,13,174,3011,0
4371,757,209,56,0
4372,48,226,2168,0
4373,21,1846,9,16
4374,46,53,1926,0
4375,709,39,105,0
4376,49,900,3,0
4377,22,2151,5,0
4378,722,476,8,0
4379,6,1154,737,0
4380,91,1155,4,0
4381,1119,41,150,0
4382,557,0,0,0
4383,702,36,7,3
4384,572,44,0,8
4385,35,891,2241,0
4386,5,441,2128,0
4387,956,38,274,0
4388,599,618,9,5
4389,477,574,325,3
4390,1,2,1673,0
4391,89,1595,27,0
4392,32,756,1591,0
4393,2,776,48,0
4394,16,1020,2,0
4395,2,26,493,0
4396,2,1358,1,0
4397,447,54,133,0
4398,0,1370,5,0
4399,482,33,0,0
4400,4,5,2942,0
4401,33,0,2151,0
4402,43,1591,0,0
4403,544,398,149,0
4404,448,569,3,0
4405,550,1608,668,0
4406,575,28,18,0
4407,3,66,3360,0
4408,774,0,77,4
4409,629,34,70,18
4410,595,330,104,0
4411,40,1889,141,0
4412,537,226,0,2
4413,30,1179,29,0
4414,734,878,262,0
4415,74,1829,2,0
4416,53,2433,2,0
4417,823,130,0,0
4418,12,1904,4,0
4419,4,29,0,0
4420,422,99,1851,0
4421,56,97,2416,0
4422,662,87,30,0
4423,13,507,1839,0
4424,8,80,1618,0
4425,440,205,4,8
4426,597,2012,30,0
4427,496,5,70,0
4428,734,281,0,0
4429,11,680,1980,0
4430,672,116,1,0
4431,486,549,1063,0
4432,627,320,1,0
4433,547,66,10,0
4434,355,546,262,0
4435,1,779,3,0
4436,932,20,1002,0
4437,819,1269,2,1
4438,847,19,220,0
4439,754,67,405,0
4440,7,33,2568,0
4441,6,816,32,0
4442,11,1849,97,0
4443,4,1430,9,0
4444,121,1298,14,0
4445,480,1073,49,32
4446,721,270,130,1
4447,228,1616,1,0
4448,1,2866,60,0
4449,688,9,55,0
4450,15,1277,13,0
4451,8,701,453,0
4452,467,348,76,0
4453,507,796,51,5
4454,175,1054,0,2
4455,71,959,4,2
4456,604,107,4,0
4457,35,1635,2,0
4458,129,1217,228,0
4459,540,902,0,3
4460,86,1811,0,0
4461,10,876,26,0
4462,20,1794,150,0
4463,491,190,2,0
4464,16,957,2,0
4465,514,61,16,0
4466,716,265,29,2
4467,229,1565,0,1
4468,2,2288,9,0
4469,642,1042,5,0
4470,568,63,58,0
4471,748,13,3,16
4472,1069,57,0,11
4473,501,0,87,2
4474,98,604,1284,0
4475,852,229,8,0
4476,791,43,27,0
4477,2,1007,97,0
4478,3,1330,71,0
4479,530,31,0,1
4480,3,690,1329,0
4481,871,158,26,0
4482,53,999,370,1
4483,802,171,18,0
4484,22,1311,23,0
4485,1048,15,0,2
4486,34,1018,20,0
4487,648,1010,27,51
4488,486,101,8,0
4489,28,71,1608,0
4490,581,23,67,0
4491,33,1178,123,3
4492,484,13,215,1
4493,2,1784,32,1
4494,689,60,180,0
4495,1198,80,3,0
4496,631,225,7,0
4497,3,84,2829,0
4498,12,2903,55,0
4499,812,36,151,0
4500,2,8,1285,0
4501,854,146,0,11
4502,21,1939,46,0
4503,40,1434,6,0
4504,550,48,4,0
4505,176,830,21,0
4506,1,1851,6,0
4507,7,47,1271,0
4508,29,11,1264,2
4509,3,16,631,112
4510,2,4,3567,0
4511,877,16,0,1
4512,809,548,43,0
4513,674,22,4,0
4514,138,1811,6,0
4515,47,2,3175,3
4516,11,1315,77,0
4517,606,309,102,3
4518,521,250,54,0
4519,660,34,5,0
4520,517,93,19,3
4521,20,1713,5,0
4522,30,2259,1,0
4523,564,12,7,0
4524,1,1293,13,0
4525,567,211,112,2
4526,36,2436,0,0
4527,627,127,42,0
4528,7,29,1314,0
4529,1,1223,2,0
4530,89,1660,3,0
4531,29,92,1008,0
4532,753,12,0,9
4533,78,3,2317,0
4534,1,913,1,0
4535,856,430,0,12
4536,610,10,34,0
4537,473,224,8,0
4538,550,1323,5,0
4539,791,104,0,0
4540,11,1884,52,0
4541,6,1460,16,0
4542,885,5,228,1
4543,18,1551,4,0
4544,2,2917,30,0
4545,509,98,2,0
4546,681,14,779,0
4547,1516,7,22,0
4548,610,0,53,4
4549,22,984,887,6
4550,972,11,27,0
4551,237,3757,0,1
4552,434,520,0,0
4553,2,760,1,0
4554,3,149,1494,0
4555,6,1254,4,0
4556,42,14,1872,0
4557,4,1178,10,0
4558,3,663,10,0
4559,13,12,1466,0
4560,478,363,17,0
4561,848,0,17,0
4562,116,1824,7,0
4563,534,658,23,0
4564,20,1170,29,0
4565,2,1532,14,0
4566,458,2354,1,0
4567,51,2436,2,0
4568,586,2,103,0
4569,11,670,2965,0
4570,15,7,1266,0
4571,649,71,0,5
4572,673,632,51,0
4573,676,355,10,1
4574,377,2515,0,0
4575,894,8,16,2
4576,703,263,0,5
4577,6,2101,4,0
4578,20,5,1382,0
4579,667,7,6,0
4580,528,199,20,13
4581,18,1226,96,0
4582,830,21,3,0
4583,969,148,72,0
4584,488,1917,1,0
4585,5,1358,6,0
4586,424,114,394,0
4587,974,12,7,0
4588,761,37,1,0
4589,596,0,40,0
4590,171,822,384,0
4591,813,85,449,0
4592,569,41,117,0
4593,134,1074,6,0
4594,7,1559,7,0
4595,3,928,13,0
4596,115,3028,24,0
4597,745,76,23,0
4598,18,1565,6,0
4599,916,812,90,0
4600,6,147,1836,0
4601,1192,115,0,1
4602,4,20,1579,0
4603,43,2184,1,0
4604,5,2129,7,0
4605,646,155,18,0
4606,570,316,0,2
4607,254,2015,0,3
4608,740,26,0,1
4609,769,952,62,0
4610,600,472,46,0
4611,716,1376,6,0
4612,481,57,0,5
4613,86,34,1798,0
4614,574,117,151,0
4615,452,3,16,0
4616,633,172,5,0
4617,807,1123,13,7
4618,732,0,0,0
4619,4,1344,5,0
4620,739,220,138,0
4621,56,3960,1,0
4622,121,1,1660,0
4623,14,27,1685,0
4624,495,116,379,0
4625,1,135,1408,0
4626,27,1038,10,0
4627,891,811,116,0
4628,1,26,1714,0
4629,6,1174,94,0
4630,696,68,163,0
4631,15,128,1580,0
4632,460,1402,0,1
4633,477,115,39,0
4634,6,55,2183,0
4635,1,70,2399,0
4636,1025,232,78,1
4637,1215,55,103,0
4638,736,754,61,0
4639,93,1765,88,0
4640,654,16,0,3
4641,30,2321,25,0
4642,12,1340,9,0
4643,8,7,1508,0
4644,12,19,3050,0
4645,557,1536,0,1
4646,54,43,3351,0
4647,1,109,2678,0
4648,120,1371,0,11
4649,572,462,453,0
4650,815,46,466,0
4651,468,85,1,0
4652,686,19,4,0
4653,1236,1112,447,0
4654,839,197,0,1
4655,631,156,115,0
4656,617,17,62,0
4657,9,2342,7,0
4658,723,209,739,0
4659,588,16,257,0
4660,612,507,0,7
4661,806,10,57,0
4662,545,235,333,0
4663,675,217,0,3
4664,743,55,15,3
4665,11,1285,0,1
4666,461,13,9,0
4667,813,3496,0,16
4668,517,277,204,7
4669,831,1392,4,0
4670,9,149,1747,0
4671,4,1148,68,0
4672,521,26,483,0
4673,17,2240,190,0
4674,1185,511,17,5
4675,477,35,23,0
4676,176,983,7,0
4677,539,36,4,0
4678,9,4,445,357
4679,779,39,7,21
4680,1,986,72,0
4681,619,131,677,0
4682,7,1069,16,0
4683,8,172,1197,0
4684,656,11,15,0
4685,1,1591,15,0
4686,860,529,0,16
4687,547,1319,82,0
4688,15,1469,6,0
4689,541,0,0,0
4690,1008,260,0,2
4691,1,1455,1,0
4692,38,2042,0,0
4693,632,467,0,73
4694,1285,422,1550,0
4695,559,420,363,4
4696,1,88,1424,0
4697,812,1214,9,0
4698,135,1906,446,7
4699,469,56,1,4
4700,7,1098,3,0
4701,884,1033,19,4
4702,1030,182,0,4
4703,670,576,5,0
4704,279,2434,27,25
4705,496,219,845,0
4706,5,1834,1,0
4707,4,1,1088,0
4708,1089,197,214,0
4709,444,2,2,1
4710,565,9,7,0
4711,448,267,181,0
4712,617,420,36,0
4713,2,742,4,5
4714,499,324,219,0
4715,683,503,862,34
4716,116,91,2745,0
4717,12,3080,28,0
4718,6,937,2,2
4719,93,649,0,9
4720,1159,1,2,0
4721,32,6,2023,0
4722,665,73,86,0
4723,14,13,1183,0
4724,9,941,9,0
4725,444,1050,72,0
4726,761,26,159,6
4727,31,1393,6,0
4728,5,1485,44,2
4729,1145,498,42,1
4730,462,100,174,0
4731,4,190,1973,0
4732,1292,44,5,0
4733,580,223,4,8
4734,607,586,36,0
4735,730,629,0,5
4736,542,199,5,0
4737,711,167,0,1
4738,792,598,4,0
4739,566,9,1,0
4740,497,579,144,4
4741,481,25,16,0
4742,81,5,2298,2
4743,522,61,4,0
4744,1,930,5,0
4745,702,106,6,0
4746,865,128,682,0
4747,23,1250,4,0
4748,475,137,0,1
4749,189,2462,1,0
4750,32,2952,25,0
4751,493,493,19,0
4752,290,1729,7,0
4753,43,995,84,1
4754,679,12,3,0
4755,25,1422,0,0
4756,631,277,523,0
4757,841,19,23,0
4758,17,1762,0,1
4759,493,213,189,0
4760,14,2404,25,0
4761,630,32,29,0
4762,620,71,3,0
4763,7,1258,3,0
4764,531,83,553,0
4765,466,6,17,0
4766,8,4429,34,0
4767,693,17,28,1
4768,80,3142,6,0
4769,824,1,279,0
4770,605,6,1030,0
4771,39,1524,7,0
4772,37,988,321,0
4773,492,0,104,0
4774,463,1673,144,0
4775,299,2765,3,0
4776,800,13,0,11
4777,542,1003,63,0
4778,118,1795,13,0
4779,947,133,258,13
4780,2,12,1744,0
4781,740,1152,50,3
4782,209,1423,75,0
4783,3,662,39,0
4784,687,51,31,0
4785,17,1925,7,0
4786,458,1091,16,12
4787,3,6,1649,0
4788,682,72,368,0
4789,46,37,0,0
4790,1,89,2251,0
4791,682,18,148,0
4792,816,6,82,0
4793,5,1378,15,0
4794,2,39,1585,0
4795,47,1890,13,1
4796,29,1268,14,7
4797,829,3,35,0
4798,1174,0,0,0
4799,473,1864,298,0
4800,682,11,1,0
4801,126,991,97,0
4802,275,1202,6,4
4803,17,3514,13,3
4804,11,2011,1,0
4805,62,419,2679,0
4806,5,1083,3,0
4807,1,29,1219,0
4808,508,23,43,0
4809,32,1470,11,0
4810,687,165,1106,0
4811,651,1,238,0
4812,776,26,52,0
4813,828,9,24,0
4814,621,22,19,1
4815,717,25,304,0
4816,217,2523,4,0
4817,29,1522,209,0
4818,651,186,473,0
4819,2,129,0,0
4820,573,27,4,0
4821,440,28,48,0
4822,549,254,19,0
4823,1227,6,0,10
4824,709,1,11,3
4825,4,0,0,0
4826,1191,0,3,3
4827,854,578,2,0
4828,62,2240,1,0
4829,2363,57,1,5
4830,625,38,2,0
4831,45,1605,1,0
4832,232,2630,2,0
4833,752,0,26,10
4834,57,656,0,8
4835,602,303,13,0
4836,29,195,3343,0
4837,499,1126,63,0
4838,416,1854,13,0
4839,78,245,2084,0
4840,15,2241,9,0
4841,452,65,46,0
4842,2,2370,215,0
4843,487,187,2,0
4844,11,1981,0,0
4845,2,1550,3,0
4846,7,1638,0,0
4847,460,306,16,0
4848,458,18,4,0
4849,528,97,1,0
4850,460,1141,37,1
4851,447,11,1,0
4852,721,733,0,0
4853,694,367,4,0
4854,14,372,2997,0
4855,482,91,0,7
4856,23,973,0,1
4857,6,1241,47,0
4858,670,10,8,0
4859,172,1016,0,0
4860,937,14,1,19
4861,840,4,183,0
4862,63,1777,14,0
4863,1162,0,25,0
4864,501,31,2,58
4865,812,15,560,0
4866,495,12,5,0
4867,741,14,14,0
4868,94,35,2085,0
4869,5,2,3854,0
4870,95,994,2,0
4871,62,31,2916,0
4872,1,390,1573,0
4873,451,67,3,0
4874,835,342,3,0
4875,511,64,39,0
4876,119,2554,11,0
4877,590,142,0,2
4878,910,1411,10,1
4879,11,2356,1,0
4880,445,119,21,3
4881,576,342,2676,10
4882,572,1646,16,0
4883,475,149,39,6
4884,470,8,74,0
4885,4,593,4,0
4886,19,943,61,0
4887,553,71,2,0
4888,1000,123,281,0
4889,751,636,453,0
4890,214,1677,1459,0
4891,615,359,50,0
4892,26,161,982,0
4893,1,2381,14,0
4894,514,42,5,0
4895,825,16,4,0
4896,161,2800,0,0
4897,54,2052,4,0
4898,491,0,59,6
4899,2,1340,17,0
4900,476,57,32,0
4901,3,13,2235,0
4902,290,2207,0,2
4903,91,1363,2,0
4904,591,1110,179,43
4905,601,197,0,0
4906,123,2423,0,11
4907,657,48,6,0
4908,57,1882,0,0
4909,753,5,304,2
4910,688,152,7,0
4911,30,7,1153,0
4912,576,0,0,0
4913,844,515,9,0
4914,138,2504,25,0
4915,590,0,0,4
4916,42,19,1701,0
4917,35,1564,13,0
4918,6,2400,41,0
4919,6,2613,18,0
4920,43,154,1833,0
4921,53,6,2390,0
4922,773,260,0,1
4923,26,1191,0,0
4924,75,155,2060,0
4925,608,335,239,0
4926,19,17,0,0
4927,765,49,99,0
4928,93,1162,0,0
4929,55,1309,2,0
4930,622,254,297,51
4931,7,308,992,0
4932,25,13,1555,0
4933,640,430,3,1
4934,8,2039,7,7
4935,696,10,415,0
4936,696,478,16,0
4937,6,2115,117,0
4938,502,1487,4,0
4939,701,105,1,2
4940,532,249,18,0
4941,536,514,137,2
4942,7,1206,318,0
4943,519,1605,42,2
4944,776,654,94,0
4945,13,927,438,0
4946,452,483,514,0
4947,638,1250,15,0
4948,40,641,38,0
4949,129,641,3,2
4950,134,1182,5,0
4951,2,610,1686,0
4952,15,1512,8,0
4953,420,127,475,0
4954,610,43,1,0
4955,733,23,306,3
4956,34,29,2353,0
4957,38,1174,51,0
4958,587,5,16,0
4959,983,110,390,0
4960,5,2982,7,0
4961,71,3411,2,2
4962,14,2051,37,0
4963,501,6,1,0
4964,5,203,2084,0
4965,686,185,59,0
4966,727,20,1,6
4967,563,228,12,6
4968,52,1,1127,0
4969,134,26,799,8
4970,528,150,115,0
4971,610,311,12,36
4972,37,1808,21,0
4973,33,1204,36,0
4974,998,19,686,0
4975,637,14,3,0
4976,10,1836,62,0
4977,692,72,0,1
4978,29,1458,8,0
4979,422,799,18,44
4980,1419,280,14,3
4981,1059,235,0,1
4982,105,1512,13,0
4983,10,1804,8,0
4984,959,10,455,0
4985,514,23,31,6
4986,22,1717,0,2
4987,395,23,715,0
4988,602,145,2,7
4989,694,1345,585,0
4990,91,99,2389,0
4991,8,6,1429,0
4992,1104,0,317,0
4993,44,1336,27,0
4994,643,494,0,0
4995,179,1959,15,0
4996,2,1218,3,0
4997,573,588,134,2
4998,485,680,0,3
4999,11,120,2693,0
5000,1,951,1,0
5001,40,1109,100,2
5002,2,101,1058,0
5003,1125,857,4,4
5004,576,0,616,0
5005,779,393,343,0
5006,818,337,142,7
5007,965,0,0,0
5008,155,1926,7,0
5009,30,1428,3,0
5010,143,1031,118,0
5011,442,129,16,0
5012,573,931,26,0
5013,4,1951,10,0
5014,536,130,34,0
5015,639,274,32,0
5016,484,12,0,44
5017,30,1102,737,0
5018,47,21,2361,0
5019,59,3065,4,0
5020,1,1515,20,0
5021,235,2076,6,0
5022,799,172,27,0
5023,15,2193,73,0
5024,1,37,2052,0
5025,573,753,57,1
5026,582,28,8,0
5027,481,5,897,0
5028,582,636,23,0
5029,82,1904,35,0
5030,426,780,3,0
5031,781,183,8,0
5032,614,47,3,0
5033,588,216,853,0
5034,36,1020,23,0
5035,650,230,627,6
5036,46,1690,332,0
5037,6,2346,3,1
5038,837,496,202,13
5039,25,937,18,0
5040,631,81,3,0
5041,559,301,114,0
5042,73,2532,94,0
5043,24,1766,335,0
5044,1089,621,2,0
5045,0,1012,7,0
5046,1,103,1866,0
5047,469,3,17,0
5048,884,163,0,2
5049,75,1241,0,2
5050,1,3349,2,0
5051,162,240,1869,0
5052,39,1610,244,0
5053,594,230,1,0
5054,6,2135,4,0
5055,12,8,2056,0
5056,3,1310,2,0
5057,461,2,0,2
5058,12,1309,12,0
5059,1,934,3,0
5060,147,43,2688,0
5061,81,1085,28,0
5062,682,7,0,19
5063,423,0,12,0
5064,22,132,1606,0
5065,6,1935,5,0
5066,563,12,5,0
5067,11,1267,4,0
5068,141,1381,10,0
5069,57,528,57,0
5070,3,1644,3,2
5071,28,1936,84,2
5072,768,20,161,0
5073,419,586,388,17
5074,1281,25,15,0
5075,91,1883,2,0
5076,565,72,0,0
5077,26,5,0,525
5078,712,60,0,4
5079,557,5,315,0
5080,15,660,15,0
5081,752,0,53,9
5082,644,13,3,0
5083,737,0,0,0
5084,9,1529,12,0
5085,27,1215,9,0
5086,754,123,2,1
5087,26,1689,1275,0
5088,735,5,8,0
5089,1,1071,6,0
5090,0,1132,5,0
5091,617,110,219,0
5092,679,7,17,0
5093,2,18,2155,0
5094,334,2020,0,18
5095,4,6,1305,0
5096,653,100,0,6
5097,1,487,2,0
5098,780,477,446,0
5099,857,466,5,14
5100,3,1014,2,0
5101,16,2715,300,1
5102,7,1267,254,0
5103,686,160,10,0
5104,39,1692,5,0
5105,553,46,2,0
5106,800,26,19,0
5107,768,75,64,0
5108,82,286,1565,0
5109,3,81,2246,0
5110,17,2080,10,0
5111,520,3107,36,1
5112,21,257,2131,0
5113,711,868,0,0
5114,825,63,113,0
5115,547,94,347,0
5116,28,824,131,0
5117,6,194,1801,0
5118,22,950,29,0
5119,17,1654,11,0
5120,741,9,281,0
5121,493,3790,55,0
5122,26,2,2115,0
5123,37,1638,27,0
5124,543,9,197,0
5125,28,2563,8,0
5126,7,2112,18,0
5127,506,105,26,8
5128,18,240,2087,4
5129,61,10,2181,0
5130,9,18,2748,0
5131,14,2,2075,0
5132,738,445,3,0
5133,261,2803,19,0
5134,53,18,2813,0
5135,14,1403,0,1
5136,30,1526,5,0
5137,62,1678,18,1
5138,5,530,1573,0
5139,36,801,131,0
5140,2,99,2059,0
5141,1,2184,232,0
5142,717,27,60,0
5143,840,38,3,6
5144,515,13,31,0
5145,13,16,1264,0
5146,759,8,9,2
5147,45,2352,15,0
5148,531,1506,3,0
5149,12,100,2268,0
5150,1069,42,66,0
5151,529,10,622,0
5152,45,9,3745,0
5153,108,146,1304,1
5154,4,2082,16,0
5155,806,0,0,0
5156,202,2011,156,15
5157,28,479,1903,0
5158,915,0,24,1
5159,861,42,9,0
5160,102,1911,6,0
5161,774,0,0,26
5162,9,1237,9,0
5163,22,966,125,0
5164,18,1669,6,0
5165,676,17,5,0
5166,710,10,284,0
5167,1273,27,47,0
5168,18,737,290,0
5169,475,14,112,0
5170,5,67,2768,0
5171,789,64,2,0
5172,948,430,69,3
5173,34,1263,75,0
5174,573,721,38,0
5175,27,3298,4,0
5176,831,38,33,0
5177,763,20,7,0
5178,581,13,199,0
5179,0,6,1448,0
5180,36,2223,1,0
5181,667,89,2,1
5182,954,29,8,0
5183,3,6,1694,0
5184,739,2,27,0
5185,5,1792,8,0
5186,105,562,2028,0
5187,514,205,16,1
5188,7,1284,6,0
5189,188,874,64,0
5190,19,1879,7,0
5191,86,3168,74,0
5192,0,4,1547,2
5193,24,852,717,0
5194,582,685,5,5
5195,1306,259,34,0
5196,564,14,369,0
5197,434,24,320,1
5198,1480,49,1,0
5199,3,28,2377,0
5200,550,234,107,4
5201,5,58,2394,0
5202,544,0,369,0
5203,1115,2,0,0
5204,25,71,1639,0
5205,719,30,214,0
5206,25,36,2201,0
5207,494,46,439,0
5208,513,93,0,2
5209,613,931,399,0
5210,464,158,79,0
5211,796,8,0,0
5212,28,1076,963,0
5213,813,13,156,0
5214,42,1276,6,0
5215,817,708,225,3
5216,300,1407,5,0
5217,449,207,73,0
5218,4,2,3033,0
5219,581,894,2,0
5220,16,1083,439,0
5221,17,95,3477,0
5222,226,2069,373,0
5223,689,67,2,0
5224,525,6,1824,0
5225,360,185,15,0
5226,58,2246,23,1
5227,488,0,0,0
5228,516,640,0,1
5229,9,1731,8,0
5230,40,1090,3,0
5231,10,1320,11,0
5232,748,87,8,1
5233,33,2608,1,2
5234,16,1706,71,6
5235,742,783,3,0
5236,13,844,24,0
5237,727,495,0,1
5238,712,0,1,2
5239,561,131,307,0
5240,650,48,28,0
5241,556,531,2,1
5242,59,2173,0,7
5243,19,1524,2,0
5244,17,1342,7,0
5245,39,73,1436,0
5246,1268,6,0,27
5247,93,6,1558,0
5248,714,21,0,0
5249,59,1221,3,0
5250,614,7,0,1
5251,681,190,11,0
5252,47,1775,36,0
5253,779,48,45,10
5254,2,2035,40,0
5255,31,196,2382,0
5256,805,199,952,0
5257,18,16,2640,0
5258,481,95,17,4
5259,14,2207,2,0
5260,760,86,41,0
5261,533,510,40,0
5262,90,724,0,1
5263,15,1283,7,0
5264,49,214,3027,0
5265,490,28,10,0
5266,685,160,56,0
5267,10,1097,42,0
5268,631,61,6,0
5269,492,97,4,0
5270,940,16,13,0
5271,656,611,5,0
5272,923,1,9,0
5273,665,1103,0,1
5274,61,14,1063,0
5275,1,3722,9,0
5276,22,1872,13,0
5277,37,1322,2,0
5278,1,61,1734,0
5279,502,389,1,0
5280,590,0,13,13
5281,714,431,27,0
5282,679,103,1,0
5283,634,2,1736,0
5284,14,344,76,0
5285,518,0,0,0
5286,43,2310,2,0
5287,19,1849,8,0
5288,474,40,13,71
5289,15,2,3279,0
5290,471,91,36,0
5291,103,1078,9,3
5292,377,18,190,0
5293,1110,887,6,0
5294,32,1019,6,0
5295,642,5,0,8
5296,38,3,2236,0
5297,885,0,5,0
5298,698,2,6,0
5299,793,947,1115,0
5300,8,441,2091,0
5301,599,10,30,0
5302,896,200,95,0
5303,512,3,4,0
5304,492,41,56,5
5305,28,1057,29,0
5306,466,10,2,0
5307,3,4,2358,0
5308,793,1787,974,0
5309,659,285,11,0
5310,466,373,13,3
5311,385,2558,0,0
5312,841,212,0,1
5313,1,1098,1,0
5314,28,33,1538,0
5315,2,5,3340,0
5316,533,1049,21,2
5317,528,48,336,0
5318,515,449,0,4
5319,4,1448,24,0
5320,6,1640,21,0
5321,10,2,2385,0
5322,673,42,545,0
5323,502,405,52,0
5324,9,24,1841,0
5325,186,1880,370,0
5326,27,1,2399,0
5327,25,1562,26,0
5328,501,1012,10,5
5329,21,92,4095,0
5330,458,214,0,0
5331,765,48,3,0
5332,507,822,19,0
5333,416,1026,147,0
5334,1063,116,547,0
5335,2,275,3029,0
5336,10,2240,2,0
5337,85,1290,10,0
5338,46,1677,2,0
5339,673,15,3,0
5340,38,937,11,0
5341,539,41,11,0
5342,554,14,6,0
5343,89,2118,0,1
5344,29,784,68,0
5345,89,1906,23,0
5346,7,360,1119,0
5347,115,1,1879,0
5348,505,148,15,0
5349,91,982,30,0
5350,5,2047,0,1
5351,551,173,16,0
5352,50,63,2089,0
5353,34,1250,405,0
5354,2,125,2179,0
5355,2,1950,20,0
5356,755,6,0,2
5357,511,140,458,3
5358,10,1828,3,0
5359,86,2049,67,0
5360,759,27,14,0
5361,1,2174,9,0
5362,455,15,9,0
5363,966,9,1,0
5364,478,46,18,0
5365,886,186,174,0
5366,41,1767,111,0
5367,1,2279,1,0
5368,615,234,156,0
5369,7,0,3188,0
5370,776,88,0,4
5371,897,13,2,0
5372,112,1611,3,0
5373,611,5,311,1
5374,2,1810,991,0
5375,106,3,2466,0
5376,35,2137,27,0
5377,570,211,4,0
5378,136,1426,1689,0
5379,609,13,0,0
5380,745,6,0,1
5381,638,192,0,3
5382,1341,7,113,1
5383,978,0,1025,0
5384,616,5,7,0
5385,917,6,1780,0
5386,535,42,20,0
5387,14,1551,6,0
5388,605,209,10,0
5389,877,22,66,0
5390,152,2136,9,0
5391,483,43,0,3
5392,2,703,0,2
5393,617,114,35,0
5394,34,2441,31,0
5395,29,960,20,0
5396,163,948,32,0
5397,459,187,678,0
5398,773,3,5,0
5399,13,63,1850,0
5400,8,1919,0,0
5401,6,2418,3,0
5402,540,178,0,6
5403,4,2075,20,0
5404,546,0,7,0
5405,174,1816,25,0
5406,4,43,1774,0
5407,39,2407,4,0
5408,867,1156,285,0
5409,639,1398,3,0
5410,5,12,2140,0
5411,3,1218,1,0
5412,1,2324,5,0
5413,569,2334,3,0
5414,2,1410,1,0
5415,832,15,8,1
5416,17,1040,3,1
5417,568,1495,274,0
5418,35,1791,11,0
5419,824,1,52,0
5420,1051,30,64,0
5421,665,503,3,0
5422,107,1961,8,0
5423,25,2095,7,0
5424,482,1059,1,0
5425,8,826,17,0
5426,655,2,12,0
5427,177,2449,0,0
5428,787,0,1276,0
5429,13,5,2744,0
5430,618,480,0,2
5431,34,3334,1,0
5432,559,1,280,0
5433,603,29,0,7
5434,23,2,2896,0
5435,793,88,5,0
5436,1,7,1740,0
5437,697,156,29,2
5438,516,521,548,1
5439,2,2667,16,0
5440,111,1983,110,0
5441,9,1545,6,0
5442,634,191,41,0
5443,74,2419,1,0
5444,2,1363,95,0
5445,1095,63,367,0
5446,11,1593,20,5
5447,4,197,1237,0
5448,2,1424,44,0
5449,65,28,1677,0
5450,471,238,3,0
5451,18,3,2829,0
5452,12,63,1873,0
5453,43,1550,3,0
5454,115,661,4,0
5455,24,75,1715,0
5456,1,2710,0,0
5457,737,19,0,3
5458,43,11,2152,0
5459,446,1371,4,3
5460,592,356,68,0
5461,811,605,0,2
5462,544,0,3,6
5463,1,976,165,0
5464,12,111,2268,0
5465,541,273,7,1
5466,1297,89,48,6
5467,5,1600,0,4
5468,1099,34,14,0
5469,28,1275,14,0
5470,530,13,8,0
5471,19,72,2275,0
5472,6,1831,12,3
5473,531,483,30,0
5474,8,2799,97,0
5475,850,22,1,0
5476,571,9,8,0
5477,5,1661,54,0
5478,151,229,1564,1
5479,75,1455,1,0
5480,2,0,2281,0
5481,675,17,0,0
5482,579,1130,17,0
5483,2,1679,2,0
5484,518,15,2,0
5485,64,2156,37,7
5486,4,1226,3,0
5487,205,636,2389,0
5488,59,111,1744,0
5489,613,1,11,0
5490,1482,78,10,0
5491,552,2,12,0
5492,111,1945,348,0
5493,893,984,7,0
5494,745,1564,0,2
5495,646,74,0,7
5496,576,346,0,0
5497,76,33,1534,0
5498,603,790,305,0
5499,768,0,22,2
5500,5,1982,20,0
5501,852,40,4,0
5502,1,993,98,0
5503,782,306,3,0
5504,694,611,293,0
5505,431,95,10,0
5506,469,552,24,0
5507,479,120,627,0
5508,8,57,2254,0
5509,1084,50,4,0
5510,288,386,0,0
5511,602,1,4,0
5512,827,216,92,0
5513,2,743,6,0
5514,70,1135,93,0
5515,10,1753,25,0
5516,858,118,36,0
5517,126,1651,19,0
5518,22,1023,158,0
5519,52,1294,20,0
5520,445,9,0,2
5521,970,3,59,0
5522,2,73,1717,0
5523,19,2,1678,0
5524,4,1935,34,0
5525,2,1536,227,0
5526,599,49,9,0
5527,1320,3,7,0
5528,4,1679,2,0
5529,681,173,33,0
5530,472,342,18,15
5531,6,379,150,0
5532,894,1,124,0
5533,4,251,1374,0
5534,31,1891,0,3
5535,30,2076,155,0
5536,932,10,604,1
5537,2,820,12,0
5538,96,1306,1,0
5539,445,99,29,0
5540,829,627,1,0
5541,572,18,7,0
5542,823,0,8,2
5543,55,106,70,0
5544,870,1182,0,6
5545,10,1217,12,0
5546,653,1,0,9
5547,422,142,532,1
5548,16,1576,3,0
5549,868,64,0,3
5550,19,1701,1,0
5551,3,610,9,0
5552,691,655,16,0
5553,31,23,3123,0
5554,613,1404,37,1
5555,461,52,0,0
5556,476,292,3,0
5557,227,2139,33,0
5558,9,3199,3,0
5559,1,1464,999,0
5560,70,1498,6,0
5561,721,145,146,0
5562,853,267,3,0
5563,52,1148,22,0
