绊按锅龋,己喊,楷飞措,芭林瘤开,瘤开疙,醚备概陛咀,乞闭备概陛咀,醚备概惑前俺荐,醚备概扒荐,1雀 乞闭备概扒荐,备概惑前啊瘤荐,林劝悼矫埃,备概力绒荤,版里荤捞侩,牢磐齿劝侩后档,捞侩痢器,促嫡捞
5545,F,45技~49技,240,碍盔,7333895,5919,1239,482,3,425,20,C,0,47,126,1
5546,F,45技~49技,49,辑匡,80500000,121413,663,639,1,114,16,D,0,4,26,0
5547,F,45技~49技,100,版扁,22100000,20177,1097,783,1,253,11,D,0,0,84,0
5548,M,45技~49技,16,辑匡,10400000,6524,1595,575,3,481,19,C,0,0,8,0
5549,F,45技~49技,16,辑匡,35800000,38255,935,698,1,195,14,D,0,0,20,0
5550,F,45技~49技,10,辑匡,15700000,9127,1721,510,3,502,13,C,0,12,12,0
5551,F,45技~49技,13,辑匡,4769196,7668,622,398,2,173,15,C,9,0,4,0
5552,F,45技~49技,460,何魂,83600000,61376,1362,635,2,401,18,C,0,0,107,0
5553,F,45技~49技,460,何魂,15500000,4886,3077,894,3,447,17,C,0,1,44,0
5554,F,45技~49技,100,版扁,49900000,24279,2055,682,3,603,18,D,0,16,25,0
5555,F,45技~49技,49,辑匡,121000000,147235,513,469,1,114,19,B,0,2,26,0
5556,F,45技~49技,460,何魂,39600000,51393,771,451,2,282,16,C,0,0,99,0
5557,F,45技~49技,210,牢玫,36200000,15099,2399,732,3,654,17,C,0,0,34,0
5558,F,45技~49技,460,何魂,19300000,6021,3077,464,6,631,16,C,0,29,84,1
5559,F,45技~49技,100,版扁,14100000,5717,2464,617,4,684,17,C,5,5,26,0
5560,F,45技~49技,610,堡林,16200000,10282,1574,526,3,417,22,C,4,0,121,0
5561,F,45技~49技,460,何魂,95600000,94448,1012,754,1,330,15,C,0,0,29,0
5562,F,45技~49技,13,辑匡,29600000,26387,1123,512,2,289,18,C,0,0,20,0
5563,F,45技~49技,270,面合,16200000,13267,1222,450,3,459,19,C,1,0,74,0
5564,F,45技~49技,47,辑匡,95800000,116261,824,569,1,260,18,D,1,10,1,0
5565,F,45技~49技,100,版扁,100000000,113507,885,525,2,214,16,C,0,4,10,0
5566,F,45技~49技,570,傈巢,14900000,5627,2647,710,4,604,16,C,0,2,111,0
5567,F,45技~49技,210,牢玫,23100000,6050,3077,376,6,716,11,C,0,14,49,1
5568,F,45技~49技,100,版扁,48300000,12940,3077,763,5,550,15,C,0,0,54,0
5569,M,45技~49技,55,辑匡,43900000,12155,3077,454,6,756.2279047,22,C,0,0,7,0
5570,M,45技~49技,16,辑匡,35500000,44206,804,493,2,244,16,D,7,6,20,0
5571,M,45技~49技,55,辑匡,24700000,14456,1710,673,3,534,19,C,0,0,32,1
5572,F,45技~49技,79,辑匡,4677883,2610,1792,578,3,287,22,C,0,2,470,0
5573,F,45技~49技,410,措备,29400000,57639,510,498,1,99,15,C,9,0,22,0
5574,F,45技~49技,100,版扁,19600000,18606,1055,561,2,282,16,C,1,44,31,1
5575,F,45技~49技,60,辑匡,36400000,11314,3077,816,4,732,19,D,0,2,317,0
5576,F,45技~49技,610,堡林,15100000,17542,863,505,2,367,18,C,0,0,121,0
5577,F,45技~49技,55,辑匡,42400000,13204,3077,754,4,729,18,D,1,0,7,0
5578,M,45技~49技,460,何魂,1101349,11971,92,42,2,72,13,C,0,0,90,0
5579,F,45技~49技,16,辑匡,26400000,10002,2640,625,4,709,14,C,0,23,44,0
5580,F,45技~49技,460,何魂,30000000,12857,2337,615,4,599,17,C,0,0,90,0
5581,F,45技~49技,460,何魂,6688056,4146,1613,626,3,247,18,C,0,0,346,0
5582,F,45技~49技,16,辑匡,87600000,79094,1108,542,2,310,18,C,0,2,20,0
5583,M,45技~49技,360,版合,28800000,12946,2221,499,4,594,21,C,0,41,96,1
5584,F,45技~49技,72,辑匡,122000000,147235,952,588,2,232,18,C,0,1,9,0
5585,M,45技~49技,310,面巢,16700000,11650,1434,700,2,353,22,C,2,0,226,0
5586,F,45技~49技,55,辑匡,10500000,4659,2243,718,3,274,20,D,0,0,506,0
5587,F,45技~49技,610,堡林,11900000,5956,1993,805,2,444,22,C,2,3,171,0
5588,F,45技~49技,52,辑匡,15300000,4771,3077,894,3,391,18,C,1,25,236,0
5589,F,45技~49技,16,辑匡,54300000,51336,1057,581,2,147,18,C,6,1,20,0
5590,F,45技~49技,100,版扁,71300000,113936,626,436,1,171,19,D,0,0,10,0
5591,F,45技~49技,210,牢玫,11900000,8068,1474,569,3,534,21,C,0,6,22,1
5592,F,45技~49技,100,版扁,122000000,55669,2627,740,4,478,22,C,0,0,54,0
5593,F,45技~49技,60,辑匡,39000000,72507,538,483,1,104,12,B,0,0,37,0
5594,F,45技~49技,100,版扁,111000000,147235,736,545,1,194,15,C,1,4,32,0
5595,F,45技~49技,75,辑匡,10300000,4862,2121,585,4,329,18,C,1,0,176,0
5596,F,45技~49技,60,辑匡,39400000,27600,1426,608,2,289,17,C,9,0,312,0
5597,F,45技~49技,500,版巢,26400000,38326,690,535,1,223,19,B,0,0,16,0
5598,F,45技~49技,460,何魂,51400000,17652,2914,754,4,746,16,C,0,15,90,0
5599,F,45技~49技,100,版扁,6317330,4815,1312,600,2,352,23,C,2,11,47,0
5600,F,45技~49技,100,版扁,12100000,4246,2861,894,3,331,18,C,4,1,151,0
5601,F,45技~49技,100,版扁,79900000,89070,897,510,2,152,19,C,9,0,7,0
5602,F,45技~49技,100,版扁,46100000,43628,1056,596,2,402,19,B,0,0,17,0
5603,M,45技~49技,460,何魂,7722213,5050,1529,382,4,346,17,C,0,25,97,1
5604,F,45技~49技,210,牢玫,21500000,7445,2889,468,6,674,14,C,0,0,34,0
5605,F,45技~49技,540,傈合,15300000,5617,2720,894,3,343,22,C,0,22,86,0
5606,F,45技~49技,500,版巢,83600000,88944,940,813,1,198,14,B,0,0,4,1
5607,F,45技~49技,47,辑匡,66000000,142602,463,429,1,92,19,C,0,0,1,0
5608,F,45技~49技,540,傈合,22200000,147235,84,51,2,52,16,C,0,0,115,0
5609,F,45技~49技,540,傈合,122000000,147235,939,861,1,165,15,C,0,0,6,0
5610,F,45技~49技,24,辑匡,13800000,139588,99,98,1,43,20,A,4,0,28,0
5611,F,45技~49技,100,版扁,8979374,10626,845,432,2,395,23,C,4,22,36,1
5612,M,45技~49技,100,版扁,15500000,20708,749,457,2,121,15,C,0,0,12,0
5613,F,45技~49技,47,辑匡,8306420,5549,1497,450,3,377,17,D,0,2,14,0
5614,F,45技~49技,16,辑匡,15700000,4787,3077,702,5,407,17,C,0,0,99,0
5615,M,45技~49技,87,辑匡,22900000,35645,642,550,1,150,19,C,0,0,20,0
5616,F,45技~49技,16,辑匡,32700000,69498,470,429,1,101,13,D,0,0,20,0
5617,F,45技~49技,13,辑匡,122000000,146783,950,671,1,198,15,C,0,0,20,0
5618,F,45技~49技,100,版扁,12200000,5903,2068,470,4,471,17,C,0,29,27,0
5619,M,45技~49技,100,版扁,75400000,50517,1493,580,3,411,16,C,0,0,37,0
5620,M,45技~49技,310,面巢,10900000,6782,1614,395,4,473,14,C,6,0,75,0
5621,M,45技~49技,210,牢玫,29800000,14441,2062,776,3,351,19,D,0,0,8,0
5622,F,45技~49技,55,辑匡,30900000,18383,1683,576,3,472,15,C,0,21,7,0
5623,F,45技~49技,100,版扁,122000000,147235,609,529,1,170,20,C,2,0,10,0
5624,F,45技~49技,10,辑匡,122000000,147235,707,499,1,128,15,C,0,0,20,0
5625,F,45技~49技,410,措备,11800000,4308,2743,848,3,403,22,C,0,0,64,0
5626,M,45技~49技,100,版扁,3463950,3753,923,631,1,147,11,C,0,0,192,0
5627,F,45技~49技,24,辑匡,16400000,9134,1795,663,3,290,18,C,8,0,11,0
5628,F,45技~49技,100,版扁,14600000,6541,2227,493,5,592,22,D,0,1,20,0
5629,F,45技~49技,60,辑匡,34100000,33731,1012,615,2,301,15,C,0,0,2,0
5630,F,45技~49技,85,辑匡,89700000,100514,892,627,1,200,16,C,1,0,5,0
5631,F,45技~49技,100,版扁,19200000,9172,2094,547,4,592,19,C,1,1,19,1
5632,F,45技~49技,460,何魂,15000000,24764,604,457,1,175,17,C,0,0,4,0
5633,M,45技~49技,24,辑匡,12100000,4974,2430,620,4,562,21,C,0,0,1,0
5634,F,45技~49技,16,辑匡,25700000,32595,789,461,2,270,16,C,0,0,20,0
5635,M,45技~49技,75,辑匡,7588490,3874,1959,583,3,317,17,C,0,0,108,0
5636,M,45技~49技,55,辑匡,43100000,14861,2901,797,4,721,12,C,7,0,7,0
5637,F,45技~49技,100,版扁,43900000,18716,2348,596,4,534,18,D,1,65,54,0
5638,F,45技~49技,500,版巢,41500000,38080,1090,500,2,467,16,C,0,0,93,0
5639,F,45技~49技,100,版扁,57900000,75159,771,677,1,144,19,C,0,32,17,0
5640,F,45技~49技,100,版扁,7606163,4005,1899,540,4,250,19,C,0,0,320,0
5641,F,45技~49技,210,牢玫,8912625,7811,1141,456,3,467,23,C,2,33,53,0
5642,F,45技~49技,500,版巢,102000000,69336,1468,662,2,486,21,C,0,0,95,0
5643,M,45技~49技,33,辑匡,83200000,79594,1045,771,1,259,16,C,0,0,1,0
5644,F,45技~49技,55,辑匡,35900000,28365,1264,786,2,402,18,C,9,0,2,0
5645,F,45技~49技,30,辑匡,122000000,147235,493,448,1,159,19,C,0,0,1,0
5646,F,45技~49技,460,何魂,17500000,7974,2189,471,5,569,16,B,0,23,90,0
5647,F,45技~49技,49,辑匡,48600000,53187,913,687,1,195,16,C,2,1,20,0
5648,F,45技~49技,460,何魂,45000000,32175,1399,788,2,286,14,C,2,0,15,0
5649,M,45技~49技,100,版扁,14400000,6412,2241,441,5,458,21,C,0,10,44,0
5650,F,45技~49技,100,版扁,11700000,6285,1860,454,4,499,11,C,0,27,27,0
5651,F,45技~49技,55,辑匡,42500000,17769,2392,705,3,511,15,D,9,0,69,0
5652,M,45技~49技,100,版扁,18200000,22331,816,475,2,91,16,C,9,0,7,0
5653,F,45技~49技,210,牢玫,13600000,5510,2474,479,5,687,15,C,1,0,34,1
5654,F,45技~49技,460,何魂,13500000,15626,865,551,2,237,18,D,1,0,29,0
5655,F,45技~49技,460,何魂,23000000,16832,1369,518,3,415,19,B,0,0,107,0
5656,F,45技~49技,72,辑匡,3533102,4103,861,495,2,151,22,D,9,0,16,0
5657,F,45技~49技,55,辑匡,48200000,32084,1501,823,2,398,12,C,0,0,7,0
5658,F,45技~49技,500,版巢,77900000,70695,1102,587,2,351,16,C,2,0,16,0
5659,M,45技~49技,72,辑匡,7191652,6023,1194,553,2,169,20,C,8,0,325,0
5660,M,45技~49技,460,何魂,14500000,4805,3020,771,4,436,17,C,4,0,352,0
5661,M,45技~49技,440,匡魂,28600000,15705,1824,616,3,473,15,C,9,0,82,0
5662,F,45技~49技,.,,36800000,20785,1770,706,3,507,15,D,9,0,529,0
5663,F,45技~49技,16,辑匡,122000000,58102,2224,832,3,675,16,C,9,21,8,0
5664,F,45技~49技,410,措备,32300000,27802,1163,765,2,272,16,C,1,0,21,0
5665,F,45技~49技,100,版扁,9705154,3520,2757,375,6,541,16,C,0,0,46,0
5666,F,45技~49技,13,辑匡,20300000,34433,590,452,1,196,14,C,0,0,20,0
5667,F,45技~49技,210,牢玫,37200000,9575,3077,441,6,752,21,C,0,0,34,0
5668,F,45技~49技,79,辑匡,12800000,6304,2036,584,3,366,21,C,9,0,303,0
5669,F,45技~49技,360,版合,38800000,29005,1338,606,2,551,17,C,0,35,96,1
5670,F,45技~49技,16,辑匡,45900000,48299,951,641,1,174,16,D,8,0,20,0
5671,F,45技~49技,55,辑匡,63200000,69148,914,447,2,350,12,C,0,7,7,0
5672,M,45技~49技,460,何魂,9701260,9328,1040,389,3,385,17,C,8,13,97,1
5673,F,45技~49技,100,版扁,17000000,24073,708,343,2,382,17,D,0,89,6,1
5674,F,45技~49技,100,版扁,14400000,9252,1559,471,3,460,21,C,0,0,20,0
5675,F,45技~49技,55,辑匡,13400000,6330,2121,659,3,487,19,C,0,15,16,0
5676,F,45技~49技,100,版扁,20600000,10783,1915,468,4,459,19,C,0,0,60,0
5677,F,45技~49技,610,堡林,8757213,4152,2109,752,3,303,16,C,0,0,50,0
5678,M,45技~49技,24,辑匡,30000000,35289,851,663,1,194,15,C,2,0,1,0
5679,M,45技~49技,72,辑匡,98400000,118395,831,763,1,160,19,C,0,1,9,0
5680,F,45技~49技,55,辑匡,25100000,11733,2137,515,4,518,18,D,0,0,13,0
5681,F,45技~49技,100,版扁,93500000,84481,1107,583,2,369,13,C,2,0,10,0
5682,M,45技~49技,100,版扁,37600000,51869,724,474,2,228,13,C,1,0,12,0
5683,F,45技~49技,460,何魂,81700000,89072,917,779,1,200,17,D,0,0,29,0
5684,F,45技~49技,100,版扁,6842775,6884,994,411,2,360,21,C,0,0,74,0
5685,M,45技~49技,100,版扁,11500000,8350,1372,392,4,536,14,C,0,153,25,0
5686,M,45技~49技,55,辑匡,98500000,147235,623,522,1,164,13,C,1,0,2,0
5687,F,45技~49技,100,版扁,31300000,26513,1180,894,1,168,19,D,0,0,41,0
5688,F,45技~49技,210,牢玫,17100000,7348,2326,584,4,542,19,C,0,1,32,0
5689,F,45技~49技,100,版扁,17200000,10936,1569,592,3,504,22,C,1,0,30,0
5690,M,45技~49技,100,版扁,44100000,24960,1766,599,3,472,17,C,0,0,25,0
5691,F,45技~49技,24,辑匡,121000000,72821,1664,572,3,570,15,C,0,0,11,0
5692,F,45技~49技,100,版扁,11500000,6132,1878,416,5,518,21,D,0,2,24,0
5693,M,45技~49技,100,版扁,29500000,63132,468,413,1,103,11,C,9,0,37,0
5694,F,45技~49技,43,辑匡,80400000,144020,558,442,1,105,13,A,0,0,1,0
5695,F,45技~49技,16,辑匡,16000000,15286,1045,672,2,197,19,D,0,0,20,0
5696,F,45技~49技,500,版巢,19200000,14067,1364,439,3,416,19,C,1,0,89,0
5697,F,45技~49技,500,版巢,122000000,147235,808,465,2,255,16,C,1,0,93,0
5698,F,45技~49技,460,何魂,58700000,59986,979,795,1,297,14,D,0,0,29,0
5699,M,45技~49技,100,版扁,122000000,147235,540,431,1,217,15,C,0,0,10,0
5700,F,45技~49技,55,辑匡,16200000,7283,2230,461,5,644,23,C,0,47,13,0
5701,F,45技~49技,310,面巢,16200000,9207,1764,561,3,556,17,C,0,5,100,0
5702,M,45技~49技,100,版扁,92300000,92801,995,663,2,246,19,C,0,0,17,0
5703,M,45技~49技,360,版合,29000000,42104,688,587,1,145,13,C,0,0,13,0
5704,M,45技~49技,540,傈合,13900000,37586,371,243,2,79,19,C,0,0,23,0
5705,F,45技~49技,13,辑匡,19100000,8177,2330,620,4,337,11,D,0,0,20,0
5706,F,45技~49技,100,版扁,20200000,5376,3077,894,4,659,17,C,0,39,298,0
5707,M,45技~49技,100,版扁,43100000,77424,557,493,1,129,16,C,0,0,10,0
5708,F,45技~49技,55,辑匡,62900000,75369,835,518,2,285,19,C,0,0,2,0
5709,F,45技~49技,610,堡林,15000000,3349,3077,557,6,308,14,C,0,0,424,0
5710,F,45技~49技,100,版扁,23500000,32239,728,621,1,138,13,D,3,0,37,0
5711,F,45技~49技,460,何魂,33800000,53949,626,468,1,199,14,B,0,3,29,1
5712,M,45技~49技,100,版扁,25100000,17355,1448,476,3,157,15,D,9,0,7,0
5713,F,45技~49技,100,版扁,31500000,40187,784,432,2,85,13,B,0,1,7,0
5714,F,45技~49技,72,辑匡,15300000,4508,3077,627,5,360,21,C,1,0,14,0
5715,F,45技~49技,460,何魂,108000000,95634,1125,683,2,257,16,D,2,0,29,0
5716,F,45技~49技,100,版扁,65200000,78554,830,701,1,142,16,D,0,0,30,0
5717,F,45技~49技,69,辑匡,34600000,65319,530,457,1,159,14,C,0,4,9,0
5718,F,45技~49技,100,版扁,10600000,7817,1362,409,3,565,22,C,2,9,39,0
5719,F,45技~49技,100,版扁,13300000,5495,2424,808,3,461,18,C,0,4,277,0
5720,M,45技~49技,100,版扁,122000000,147235,1401,894,2,295,21,C,0,22,26,0
5721,F,45技~49技,460,何魂,18800000,16654,1126,552,2,415,14,C,0,0,94,0
5722,F,45技~49技,500,版巢,12300000,25570,480,434,1,130,15,C,0,0,16,0
5723,F,45技~49技,460,何魂,23900000,5220,3077,799,6,404,9,C,1,0,122,0
5724,F,45技~49技,49,辑匡,39400000,69295,568,517,1,131,14,C,5,0,26,0
5725,F,45技~49技,440,匡魂,122000000,145335,944,492,2,280,19,D,0,0,14,0
5726,F,45技~49技,500,版巢,87300000,120265,726,600,1,221,14,D,0,0,16,0
5727,F,45技~49技,100,版扁,54500000,55322,986,684,1,136,15,D,1,51,7,0
5728,F,45技~49技,460,何魂,14400000,7246,1985,747,3,447,18,C,0,0,90,0
5729,F,45技~49技,100,版扁,9315315,8044,1158,455,3,388,22,C,2,9,30,0
5730,F,45技~49技,610,堡林,36600000,57672,635,530,1,183,14,C,5,0,6,0
5731,F,45技~49技,460,何魂,32400000,43146,750,491,2,224,19,C,1,0,25,0
5732,F,45技~49技,10,辑匡,12000000,15591,771,521,1,115,17,C,0,0,24,0
5733,F,45技~49技,540,傈合,15300000,6699,2285,775,3,653,18,C,0,45,120,0
5734,F,45技~49技,100,版扁,13300000,4163,3077,803,4,406,17,C,0,0,230,0
5735,F,45技~49技,47,辑匡,7339970,4534,1619,512,3,316,16,D,0,8,14,0
5736,F,45技~49技,460,何魂,50100000,62495,801,500,2,212,13,B,0,0,4,0
5737,F,45技~49技,100,版扁,13500000,5997,2255,426,5,531,17,C,0,12,58,1
5738,F,45技~49技,100,版扁,13000000,8343,1563,596,3,522,18,C,0,0,25,0
5739,F,45技~49技,540,傈合,62300000,47234,1318,583,2,517,17,C,0,4,119,0
5740,F,45技~49技,460,何魂,81900000,101549,807,514,2,316,15,D,6,0,29,0
5741,M,45技~49技,100,版扁,15000000,8096,1854,400,5,366,23,C,0,36,27,0
5742,F,45技~49技,460,何魂,53300000,29496,1806,688,3,524,16,C,0,22,94,0
5743,F,45技~49技,460,何魂,11200000,6898,1630,482,3,449,12,C,0,35,84,0
5744,F,45技~49技,55,辑匡,30600000,12513,2446,575,4,589,19,C,1,0,13,0
5745,F,45技~49技,570,傈巢,17500000,7609,2297,594,4,469,23,C,0,0,111,0
5746,F,45技~49技,100,版扁,22300000,27177,819,427,2,132,11,C,1,0,37,0
5747,F,45技~49技,100,版扁,114000000,147235,530,486,1,138,17,C,3,0,37,0
5748,F,45技~49技,47,辑匡,9531558,3829,2489,382,6,471,22,C,0,7,14,0
5749,F,45技~49技,55,辑匡,2085310,12715,164,161,1,33,18,A,4,0,12,0
5750,F,45技~49技,610,堡林,17200000,12486,1375,553,2,439,23,C,0,7,114,0
5751,F,45技~49技,500,版巢,122000000,147235,646,497,1,159,19,D,9,0,16,0
5752,M,45技~49技,100,版扁,25500000,29435,865,516,2,216,19,C,0,0,10,0
5753,F,45技~49技,16,辑匡,31100000,35963,866,543,2,284,16,C,0,0,20,0
5754,F,45技~49技,24,辑匡,52300000,77033,679,531,1,122,18,B,0,0,1,0
5755,F,45技~49技,540,傈合,7453928,5690,1310,398,3,375,21,C,0,0,116,0
5756,F,45技~49技,310,面巢,10600000,9024,1178,579,2,382,18,C,0,0,70,1
5757,F,45技~49技,100,版扁,19700000,8649,2283,758,3,542,18,C,0,0,153,0
5758,F,45技~49技,100,版扁,15300000,17365,882,688,1,82,19,B,6,0,30,0
5759,F,45技~49技,100,版扁,70200000,94449,743,724,1,73,13,D,1,0,37,0
5760,M,45技~49技,49,辑匡,84900000,118732,715,626,1,115,16,C,0,0,20,0
5761,F,45技~49技,100,版扁,43800000,37671,1164,518,2,207,19,C,0,22,10,0
5762,M,40技~44技,460,何魂,116000000,147235,736,702,1,171,19,C,1,0,4,0
5763,F,40技~44技,100,版扁,8991839,5547,1621,460,4,367,17,C,0,43,27,0
5764,F,40技~44技,55,辑匡,4885929,4085,1196,736,2,328,21,C,7,0,7,0
5765,F,40技~44技,100,版扁,9118945,11616,785,551,1,219,13,C,2,2,40,0
5766,F,40技~44技,47,辑匡,16400000,5769,2834,431,6,584,16,D,0,0,14,1
5767,F,40技~44技,460,何魂,15900000,9384,1691,449,4,598,16,C,1,20,83,0
5768,M,40技~44技,60,辑匡,39500000,57086,692,415,2,127,19,C,0,0,12,0
5769,F,40技~44技,47,辑匡,6634628,3947,1681,638,3,226,19,C,2,0,163,0
5770,F,40技~44技,60,辑匡,46100000,64700,713,575,1,139,19,D,2,0,12,0
5771,F,40技~44技,47,辑匡,4391498,8365,525,198,3,216,11,C,0,0,14,0
5772,F,40技~44技,100,版扁,12200000,5500,2210,598,4,591,19,C,0,0,23,0
5773,F,40技~44技,27,辑匡,11600000,16846,687,484,1,153,14,C,2,1,24,0
5774,F,40技~44技,100,版扁,61500000,44888,1371,581,2,403,15,C,9,0,10,0
5775,F,40技~44技,13,辑匡,17000000,26143,650,442,1,136,17,D,0,0,20,0
5776,F,40技~44技,100,版扁,18400000,6087,3026,386,6,458,14,C,0,0,58,0
5777,F,40技~44技,460,何魂,7374983,6573,1122,495,2,357,12,C,0,38,84,0
5778,F,40技~44技,100,版扁,13300000,4819,2756,409,6,529,21,C,0,8,27,0
5779,F,40技~44技,65,辑匡,81100000,77464,1047,533,2,294,17,D,9,0,7,0
5780,F,40技~44技,24,辑匡,11500000,5894,1959,739,3,381,15,C,0,0,11,0
5781,F,40技~44技,16,辑匡,28800000,20121,1429,714,2,240,18,C,3,0,20,0
5782,F,40技~44技,210,牢玫,21600000,15079,1433,510,3,453,21,C,3,0,34,1
5783,M,40技~44技,610,堡林,16400000,9083,1809,527,3,566,13,C,9,0,112,0
5784,F,40技~44技,49,辑匡,50300000,41788,1203,602,2,184,17,C,6,0,20,0
5785,M,40技~44技,610,堡林,7495393,4425,1694,633,3,348,21,C,0,0,57,0
5786,F,40技~44技,210,牢玫,12300000,5074,2424,403,6,536,20,C,0,53,22,1
5787,F,40技~44技,100,版扁,54100000,51402,1053,511,2,93,15,D,0,0,7,0
5788,F,40技~44技,100,版扁,16000000,7884,2035,687,3,343,15,C,0,0,194,0
5789,F,40技~44技,610,堡林,15300000,10015,1524,602,3,441,17,C,0,2,109,0
5790,F,40技~44技,460,何魂,21500000,30486,706,526,1,192,15,D,0,0,25,0
5791,F,40技~44技,610,堡林,89600000,147235,585,518,1,149,16,C,0,0,6,0
5792,F,40技~44技,540,傈合,48600000,67767,717,541,1,175,19,C,0,0,23,0
5793,F,40技~44技,16,辑匡,62000000,50772,1221,654,2,273,15,D,0,0,20,0
5794,F,40技~44技,100,版扁,48400000,59323,816,621,1,272,17,C,0,0,31,0
5795,F,40技~44技,460,何魂,14500000,5880,2468,614,4,379,18,C,1,1,98,0
5796,F,40技~44技,100,版扁,12800000,6869,1870,584,3,650,22,D,7,42,39,0
5797,F,40技~44技,440,匡魂,52100000,100181,520,487,1,98,13,D,9,0,14,0
5798,F,40技~44技,100,版扁,10200000,10267,994,462,2,378,22,C,1,0,46,1
5799,F,40技~44技,100,版扁,13600000,5967,2274,453,5,529,19,C,0,18,19,0
5800,F,40技~44技,360,版合,12600000,6384,1977,388,5,580,21,C,0,0,96,0
5801,M,40技~44技,500,版巢,17300000,21292,812,548,1,152,18,C,4,0,16,0
5802,M,40技~44技,100,版扁,12900000,3024,3077,608,6,371,18,C,0,7,131,0
5803,F,40技~44技,540,傈合,11600000,8917,1306,705,2,281,18,C,0,0,422,0
5804,F,40技~44技,460,何魂,68000000,103839,655,520,1,152,19,C,0,0,25,0
5805,F,40技~44技,460,何魂,13500000,6237,2165,880,2,343,18,D,1,0,238,0
5806,F,40技~44技,100,版扁,22300000,9234,2412,548,4,387,17,C,0,0,12,0
5807,F,40技~44技,460,何魂,37500000,52047,721,663,1,107,17,A,9,0,15,0
5808,F,40技~44技,16,辑匡,66400000,37946,1750,607,3,475,15,C,0,0,8,0
5809,F,40技~44技,55,辑匡,17300000,9138,1889,475,4,579,14,C,0,0,13,0
5810,F,40技~44技,55,辑匡,122000000,147235,643,531,1,134,19,C,7,0,2,0
5811,M,40技~44技,55,辑匡,51300000,40020,1281,765,2,348,13,D,0,0,2,0
5812,F,40技~44技,13,辑匡,14600000,8262,1772,667,3,370,22,D,3,0,97,0
5813,F,40技~44技,60,辑匡,78500000,72910,1076,705,2,190,19,C,0,0,12,0
5814,M,40技~44技,10,辑匡,122000000,147235,668,623,1,125,16,C,1,13,1,0
5815,F,40技~44技,27,辑匡,4861465,4941,984,639,2,125,10,C,0,0,225,0
5816,F,40技~44技,55,辑匡,122000000,147235,575,522,1,187,17,D,4,0,2,0
5817,M,40技~44技,100,版扁,78800000,103528,761,477,2,269,15,C,0,2,10,0
5818,F,40技~44技,100,版扁,14500000,10249,1414,662,2,492,17,C,0,16,26,0
5819,F,40技~44技,100,版扁,53400000,66295,806,479,2,119,13,C,2,0,10,0
5820,M,40技~44技,210,牢玫,56700000,92640,612,461,1,86,18,C,2,0,8,0
5821,F,40技~44技,570,傈巢,12100000,8583,1415,537,3,311,22,C,6,0,58,0
5822,F,40技~44技,100,版扁,8324147,6483,1284,446,3,381,20,C,0,0,20,0
5823,F,40技~44技,100,版扁,122000000,147235,936,503,2,320,16,C,0,0,32,0
5824,F,40技~44技,60,辑匡,122000000,147235,1091,894,1,153,15,D,1,0,12,0
5825,M,40技~44技,43,辑匡,122000000,147235,1196,716,2,102,11,C,0,0,1,0
5826,F,40技~44技,100,版扁,30200000,29118,1038,567,2,137,11,C,0,26,30,0
5827,M,40技~44技,100,版扁,20400000,11363,1797,537,3,502,22,C,0,34,26,0
5828,F,40技~44技,100,版扁,25800000,44800,575,430,1,203,13,D,0,0,37,0
5829,F,40技~44技,100,版扁,48100000,46234,1041,894,1,167,16,D,2,0,10,0
5830,M,40技~44技,540,傈合,103000000,115612,888,588,2,296,19,C,4,0,23,0
5831,F,40技~44技,460,何魂,18000000,10912,1650,540,3,476,17,C,1,20,107,0
5832,M,40技~44技,500,版巢,13400000,8304,1614,675,2,428,18,C,8,0,101,0
5833,F,40技~44技,60,辑匡,9289073,18178,511,407,1,111,16,C,9,0,12,0
5834,F,40技~44技,210,牢玫,19100000,9937,1922,456,4,612,17,C,0,14,34,1
5835,F,40技~44技,100,版扁,122000000,75027,1977,894,2,499,14,C,0,0,109,0
5836,F,45技~49技,100,版扁,17500000,4851,3077,771,5,316,18,C,0,0,299,0
5837,F,40技~44技,10,辑匡,19700000,6307,3077,694,5,756.2279047,17,C,5,7,12,1
5838,F,40技~44技,210,牢玫,19900000,6737,2960,436,6,639,21,C,0,20,33,0
5839,F,40技~44技,49,辑匡,49800000,69785,713,587,1,152,13,C,3,0,26,0
5840,M,40技~44技,210,牢玫,20900000,9044,2311,465,5,588,18,C,0,0,32,0
5841,F,40技~44技,630,力林,17900000,16815,1063,532,2,286,19,D,0,0,12,0
5842,F,40技~44技,440,匡魂,73900000,93112,794,456,2,131,11,D,0,0,14,0
5843,M,40技~44技,100,版扁,8926341,5416,1648,566,3,272,18,C,0,0,279,0
5844,F,40技~44技,100,版扁,11800000,7616,1549,451,3,384,19,D,0,22,7,0
5845,F,40技~44技,100,版扁,15100000,10490,1442,593,2,326,11,C,1,0,54,0
5846,F,40技~44技,500,版巢,86000000,73160,1175,536,2,455,15,C,0,2,87,0
5847,F,40技~44技,460,何魂,122000000,110065,1448,639,2,437,15,C,0,2,94,0
5848,M,40技~44技,24,辑匡,23500000,23463,1001,631,2,232,16,C,9,0,1,0
5849,F,40技~44技,55,辑匡,11700000,11215,1044,470,2,388,21,C,0,0,13,0
5850,F,40技~44技,500,版巢,122000000,147235,615,594,1,79,16,C,0,0,16,0
5851,F,40技~44技,100,版扁,53500000,85650,625,602,1,107,19,C,9,0,24,0
